Man or Mouse - Exact Theoretical Win Probabilities
======================================================================

Probabilities for a 2 person game:
----------------------------------------------------------------------
Hand     Win%       Tie%       Loss%
32       0.000%     0.000%   100.000%

Completed in 69.26 seconds

Probabilities for a 5 person game:
----------------------------------------------------------------------
Hand     Win%       Tie%       Loss%
----------------------------------------------------------------------
AA      99.673%     0.327%     0.000%
KK      97.722%     0.321%     1.957%
QQ      95.802%     0.316%     3.882%
JJ      93.912%     0.311%     5.776%
1010    92.053%     0.306%     7.641%
99      90.224%     0.301%     9.474%
88      88.425%     0.296%    11.279%
77      86.655%     0.291%    13.053%
66      84.914%     0.287%    14.799%
55      83.202%     0.282%    16.516%
44      81.518%     0.277%    18.205%
33      79.862%     0.273%    19.865%
22      78.234%     0.268%    21.498%
AK      76.081%     2.425%    21.493%
AQ      72.902%     2.371%    24.727%
AJ      69.796%     2.316%    27.888%
A10     66.761%     2.262%    30.976%
A9      63.798%     2.209%    33.993%
A8      60.906%     2.156%    36.938%
A7      58.084%     2.104%    39.812%
A6      55.332%     2.052%    42.616%
A5      52.649%     2.000%    45.351%
A4      50.034%     1.949%    48.017%
A3      47.487%     1.898%    50.615%
A2      45.007%     1.848%    53.145%
KQ      35.985%     1.370%    62.644%
KJ      34.195%     1.333%    64.471%
K10     32.454%     1.297%    66.249%
K9      30.762%     1.260%    67.978%
K8      29.118%     1.224%    69.658%
K7      27.521%     1.189%    71.290%
K6      25.972%     1.154%    72.875%
K5      24.469%     1.119%    74.413%
K4      23.012%     1.084%    75.904%
K3      21.601%     1.050%    77.349%
K2      20.235%     1.016%    78.748%
QJ      15.747%     0.729%    83.524%
Q10     14.799%     0.705%    84.496%
Q9      13.882%     0.681%    85.436%
Q8      12.997%     0.658%    86.345%
Q7      12.144%     0.635%    87.222%
Q6      11.320%     0.612%    88.068%
Q5      10.527%     0.589%    88.883%
Q4       9.764%     0.567%    89.669%
Q3       9.030%     0.545%    90.425%
Q2       8.326%     0.523%    91.151%
J10      6.261%     0.360%    93.379%
J9       5.795%     0.346%    93.859%
J8       5.349%     0.331%    94.320%
J7       4.922%     0.317%    94.761%
J6       4.514%     0.302%    95.183%
J5       4.125%     0.289%    95.586%
J4       3.754%     0.275%    95.971%
J3       3.401%     0.261%    96.337%
J2       3.066%     0.248%    96.685%
109      2.205%     0.162%    97.633%
108      1.997%     0.154%    97.849%
107      1.801%     0.145%    98.054%
106      1.615%     0.137%    98.248%
105      1.441%     0.129%    98.430%
104      1.277%     0.121%    98.602%
103      1.123%     0.113%    98.764%
102      0.979%     0.106%    98.915%
98       0.663%     0.065%    99.273%
97       0.581%     0.060%    99.359%
96       0.506%     0.056%    99.439%
95       0.436%     0.051%    99.513%
94       0.371%     0.047%    99.581%
93       0.312%     0.043%    99.644%
92       0.259%     0.039%    99.702%
87       0.161%     0.022%    99.818%
86       0.134%     0.020%    99.847%
85       0.110%     0.018%    99.873%
84       0.088%     0.016%    99.896%
83       0.069%     0.014%    99.917%
82       0.052%     0.012%    99.936%
76       0.029%     0.006%    99.966%
75       0.022%     0.005%    99.973%
74       0.016%     0.004%    99.980%
73       0.011%     0.003%    99.986%
72       0.007%     0.003%    99.990%
65       0.003%     0.001%    99.996%
64       0.002%     0.001%    99.997%
63       0.001%     0.001%    99.998%
62       0.000%     0.000%    99.999%
54       0.000%     0.000%   100.000%
53       0.000%     0.000%   100.000%
52       0.000%     0.000%   100.000%
43       0.000%     0.000%   100.000%
42       0.000%     0.000%   100.000%
32       0.000%     0.000%   100.000%

Completed in 1241.90 seconds
